x (m),T (C)
0.015860,7.715224
0.015900,7.642169
0.015940,7.569038
0.015980,7.495832
0.016020,7.422552
0.016060,7.349198
0.016100,7.275771
0.016140,7.202271
0.016180,7.128700
0.016220,7.055059
0.016260,6.981347
0.016300,6.907566
0.016340,6.833717
0.016380,6.759799
0.016420,6.685815
0.016460,6.611764
0.016500,6.537647
0.016540,6.463466
0.016580,6.389220
0.016620,6.314911
0.016660,6.240539
0.016700,6.166105
0.016740,6.091610
0.016780,6.017055
0.016820,5.942440
0.016860,5.867766
0.016900,5.793033
0.016940,5.718243
0.016980,5.643396
0.017020,5.568494
0.017060,5.493535
0.017100,5.418523
0.017140,5.343456
0.017180,5.268337
0.017220,5.193165
0.017260,5.117942
0.017300,5.042668
0.017340,4.967343
0.017380,4.891970
0.017420,4.816548
0.017460,4.741078
0.017500,4.665561
0.017540,4.589997
0.017580,4.514388
0.017620,4.438734
0.017660,4.363037
0.017700,4.287295
0.017740,4.211512
0.017780,4.135686
0.017820,4.059820
0.017860,3.983913
0.017900,3.907966
0.017940,3.831981
0.017980,3.755958
0.018020,3.679897
0.018060,3.603800
0.018100,3.527667
0.018140,3.451499
0.018180,3.375297
0.018220,3.299061
0.018260,3.222792
0.018300,3.146492
0.018340,3.070160
0.018380,2.993798
0.018420,2.917406
0.018460,2.840985
0.018500,2.764536
0.018540,2.688059
0.018580,2.611556
0.018620,2.535027
0.018660,2.458472
0.018700,2.381894
0.018740,2.305291
0.018780,2.228666
0.018820,2.152018
0.018860,2.075350
0.018900,1.998660
0.018940,1.921951
0.018980,1.845222
0.019020,1.768476
0.019060,1.691712
0.019100,1.614931
0.019140,1.538133
0.019180,1.461321
0.019220,1.384494
0.019260,1.307654
0.019300,1.230800
0.019340,1.153934
0.019380,1.077057
0.019420,1.000169
0.019460,0.923271
0.019500,0.846364
0.019540,0.769449
0.019580,0.692526
0.019620,0.615596
0.019660,0.538660
0.019700,0.461718
0.019740,0.384772
0.019780,0.307822
0.019820,0.230869
0.019860,0.153914
0.019900,0.076957
0.019940,0.000000
0.019980,0.000000
0.020000,0.000000
